id,case_number,date,block,iucr_code,location_desc,arrest,domestic,beat_num,district_code,ward_no,community_code,fbi_code,x_coordinate,y_coordinate,year,date_of_update,latitude,longitude,location
10509078,HZ250611,5/3/2016,043XX S SAWYER AVE,1153,RESIDENCE,FALSE,FALSE,821,8,14,58,11,1155409,1875700,2016,5/10/2016,41.81472107,-87.7054583,"(41.814721065, -87.7054583)"
10509094,HZ250662,5/3/2016,084XX S MORGAN ST,910,STREET,FALSE,FALSE,613,6,21,71,7,1171118,1848917,2016,5/10/2016,41.74089592,-87.64861788,"(41.740895923, -87.648617881)"
10509096,HZ250700,5/3/2016,003XX W MONROE ST,910,STREET,FALSE,FALSE,122,1,2,32,7,1174166,1899864,2016,5/10/2016,41.88063228,-87.63593549,"(41.88063228, -87.635935494)"
10509107,HZ250666,5/3/2016,001XX S PARKSIDE AVE,460,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,1513,15,29,25,08B,1138636,1898830,2016,5/10/2016,41.87851302,-87.76642478,"(41.87851302, -87.766424778)"
10509118,HZ250763,5/3/2016,042XX W KAMERLING AVE,820,STREET,FALSE,FALSE,2534,25,37,23,6,1147775,1908648,2016,5/10/2016,41.90528413,-87.73261553,"(41.90528413, -87.732615525)"
10509137,HZ250815,5/3/2016,037XX N WILTON AVE,810,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1923,19,44,6,6,1169265,1925099,2016,5/10/2016,41.94998639,-87.65319658,"(41.949986394, -87.65319658)"
10509139,HZ250777,5/3/2016,010XX W GRANVILLE AVE,1305,APARTMENT,FALSE,FALSE,2433,24,48,77,14,1167960,1941343,2016,5/10/2016,41.99458874,-87.65752255,"(41.994588742, -87.657522554)"
10509159,HZ250847,5/3/2016,100XX S VERNON AVE,1153,RESIDENCE,FALSE,FALSE,511,5,9,49,11,1181016,1838453,2016,5/10/2016,41.7119596,-87.61267363,"(41.711959596, -87.612673629)"
10509160,HZ250831,5/3/2016,006XX W 41ST ST,820,STREET,FALSE,FALSE,925,9,11,61,6,1172757,1877882,2016,5/10/2016,41.82034323,-87.64175921,"(41.820343226, -87.641759214)"
10509162,HZ250825,5/3/2016,034XX N ALBANY AVE,1310,RESIDENCE,FALSE,FALSE,1733,17,33,21,14,1155113,1922566,2016,5/10/2016,41.94333206,-87.70528607,"(41.943332055, -87.705286066)"
10509183,HZ250769,5/3/2016,068XX S OGLESBY AVE,810,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,331,3,5,43,6,1192946,1860098,2016,5/10/2016,41.77107306,-87.56827866,"(41.771073064, -87.568278663)"
10509210,HZ250655,5/3/2016,068XX S ASHLAND AVE,486,STREET,FALSE,TRUE,725,7,17,67,08B,1166850,1859459,2016,5/10/2016,41.76991675,-87.66395498,"(41.769916749, -87.663954978)"
10509213,HZ250838,5/3/2016,133XX S LANGLEY AVE,820,CHA PARKING LOT/GROUNDS,FALSE,FALSE,533,5,9,54,6,1183339,1817078,2016,5/10/2016,41.65324998,-87.60482818,"(41.653249978, -87.604828177)"
10509223,HZ250646,5/3/2016,059XX S MOZART ST,910,STREET,FALSE,FALSE,824,8,16,66,7,1158392,1865224,2016,5/10/2016,41.78591319,-87.69480165,"(41.785913194, -87.694801653)"
10509235,HZ250869,5/3/2016,070XX W ARCHER AVE,1305,MEDICAL/DENTAL OFFICE,FALSE,FALSE,811,8,23,56,14,1130469,1867268,2016,5/10/2016,41.79204575,-87.79713628,"(41.792045748, -87.797136278)"
10509250,HZ250807,5/3/2016,011XX W 95TH ST,2825,RESIDENCE,FALSE,FALSE,2213,22,21,73,26,1170219,1841786,2016,5/10/2016,41.72134702,-87.65211853,"(41.721347022, -87.652118525)"
10509262,HZ250900,5/3/2016,037XX W ADDISON ST,820,STREET,FALSE,FALSE,1732,17,30,21,6,1150905,1923676,2016,5/10/2016,41.94646154,-87.72072354,"(41.946461543, -87.72072354)"
10509271,HZ250882,5/3/2016,0000X S WABASH AVE,1310,RESTAURANT,FALSE,FALSE,112,1,42,32,14,1176814,1900257,2016,5/10/2016,41.88165124,-87.62620049,"(41.881651236, -87.626200491)"
10509277,HZ250919,5/3/2016,087XX S BURLEY AVE,1477,CHA PARKING LOT/GROUNDS,FALSE,FALSE,424,4,7,46,15,1199184,1847728,2016,5/10/2016,41.73697442,-87.545828,"(41.736974418, -87.545827999)"
10509285,HZ250694,5/3/2016,029XX N MOBILE AVE,910,STREET,FALSE,FALSE,2511,25,29,19,7,1133897,1918956,2016,5/10/2016,41.93382589,-87.78335189,"(41.933825894, -87.78335189)"
10509311,HZ250961,5/3/2016,029XX S WALLACE ST,2820,RESIDENCE,FALSE,TRUE,914,9,11,60,26,1172771,1885463,2016,5/10/2016,41.84114586,-87.64148388,"(41.841145857, -87.641483881)"
10509328,HZ250653,5/3/2016,071XX S EAST END AVE,910,STREET,FALSE,FALSE,324,3,8,43,7,1188770,1857957,2016,5/10/2016,41.7652989,-87.58365451,"(41.765298896, -87.583654511)"
10509336,HZ250909,5/3/2016,066XX W RAVEN ST,820,STREET,FALSE,FALSE,1611,16,41,10,6,1130812,1940757,2016,5/10/2016,41.99370385,-87.79418524,"(41.993703853, -87.794185238)"
10509343,HZ250911,5/3/2016,0000X W CHESTNUT ST,1152,OTHER,FALSE,FALSE,1832,18,42,8,11,1175628,1906198,2016,5/10/2016,41.8979804,-87.63037668,"(41.897980396, -87.630376682)"
10509351,HZ250971,5/3/2016,064XX S PEORIA ST,486,RESIDENCE,FALSE,TRUE,723,7,16,68,08B,1171414,1862128,2016,5/10/2016,41.77714211,-87.64714727,"(41.777142114, -87.647147267)"
10509362,HZ250948,5/3/2016,004XX N STATE ST,810,STREET,FALSE,FALSE,1834,18,42,8,6,1176302,1903096,2016,5/10/2016,41.88945317,-87.62799483,"(41.889453169, -87.627994833)"
10509363,HZ250630,5/3/2016,009XX W DICKENS AVE,810,RESIDENCE-GARAGE,FALSE,FALSE,1812,18,43,7,6,1169773,1914157,2016,5/10/2016,41.91994998,-87.65164906,"(41.919949978, -87.651649056)"
10509413,HZ251000,5/4/2016,031XX S ASHLAND AVE,1320,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,912,9,11,59,14,1166183,1883676,2016,5/11/2016,41.83638523,-87.66571041,"(41.836385231, -87.66571041)"
10509422,HZ250945,5/4/2016,083XX S STEWART AVE,860,SMALL RETAIL STORE,TRUE,FALSE,622,6,21,44,6,1175078,1849610,2016,5/11/2016,41.74271022,-87.63408818,"(41.742710224, -87.634088181)"
10509410,HZ251003,5/3/2016,018XX N MASON AVE,1154,RESIDENCE,FALSE,FALSE,2531,25,29,25,11,1136460,1911565,2016,5/10/2016,41.91349864,-87.77410994,"(41.913498644, -87.774109939)"
10509462,HZ250775,5/3/2016,032XX W POTOMAC AVE,1320,STREET,FALSE,FALSE,1422,14,26,23,14,1154577,1908468,2016,5/10/2016,41.90465676,-87.70763425,"(41.904656764, -87.707634248)"
10509476,HZ251030,5/3/2016,021XX N LEAVITT ST,1320,STREET,FALSE,FALSE,1432,14,32,22,14,1161347,1914241,2016,5/10/2016,41.9203601,-87.68260517,"(41.920360101, -87.682605169)"
10509481,HZ250766,5/3/2016,043XX S KEDZIE AVE,1310,OTHER,FALSE,FALSE,922,9,14,58,14,1155737,1875838,2016,5/10/2016,41.81509317,-87.70425144,"(41.815093173, -87.704251437)"
10509482,HZ251008,5/3/2016,038XX W WILCOX ST,2820,APARTMENT,FALSE,FALSE,1122,11,28,26,26,1150799,1899061,2016,5/10/2016,41.87891776,-87.72175831,"(41.878917763, -87.721758314)"
10509486,HZ250872,5/3/2016,011XX S STATE ST,810,CTA TRAIN,FALSE,FALSE,123,1,2,32,6,1176517,1895340,2016,5/10/2016,41.86816541,-87.62743954,"(41.868165405, -87.62743954)"
10509488,HZ251048,5/3/2016,0000X E RANDOLPH ST,1150,STREET,FALSE,FALSE,111,1,42,32,11,1176904,1901295,2016,5/10/2016,41.88449753,-87.6258386,"(41.884497529, -87.625838595)"
10509525,HZ251077,5/3/2016,006XX W WASHINGTON BLVD,810,STREET,FALSE,FALSE,121,1,27,28,6,1171824,1900768,2016,5/10/2016,41.88316482,-87.6445084,"(41.883164818, -87.644508395)"
10509526,HZ250665,5/3/2016,060XX N NAVARRE AVE,820,STREET,FALSE,FALSE,1611,16,41,10,6,1131033,1939617,2016,5/10/2016,41.99057177,-87.79339873,"(41.99057177, -87.793398734)"
